machine, size, metric, invocations, min, max, mean
f3,200_200_50,300,"shared_store",227812,227812,227812
f3,200_200_50,300,"local_load",0,0,0
f3,200_200_50,300,"local_store",0,0,0
f3,200_200_50,300,"gld_request",214362,214362,214362
f3,200_200_50,300,"gst_request",61776,61776,61776
f3,200_200_50,300,"active_cycles",6720045,7612410,7102018
f3,200_200_50,300,"active_warps",296878782,300392358,297771468
f3,200_200_50,300,"sm_cta_launched",169,169,169
f3,200_200_50,300,"not_predicated_off_thread_inst_executed",262184770,262184788,262184779
f3,200_200_50,300,"l1_local_load_hit",0,0,0
f3,200_200_50,300,"l1_local_load_miss",0,0,0
f3,200_200_50,300,"l1_local_store_hit",0,0,0
f3,200_200_50,300,"l1_local_store_miss",0,0,0
f3,200_200_50,300,"l1_global_load_hit",0,0,0
f3,200_200_50,300,"l1_global_load_miss",0,0,0
f3,200_200_50,300,"uncached_global_load_transaction",424350,424350,424350
f3,200_200_50,300,"global_store_transaction",237600,237600,237600
f3,200_200_50,300,"shared_load_replay",419376,419376,419376
f3,200_200_50,300,"shared_store_replay",59488,59488,59488
f3,200_200_50,300,"global_ld_mem_divergence_replays",209988,209988,209988
f3,200_200_50,300,"global_st_mem_divergence_replays",175824,175824,175824
f3,200_200_50,300,"local_load_transactions",0,0,0
f3,200_200_50,300,"local_store_transactions",0,0,0
